Plant,Date,Non- Compliance Group,Species,Type,Compliance Level,Non Compliance,Description,Action
[Plant Name & Number],01/05/2015,On farm welfare,Red Meat: Cattle,Welfare on farm,3,Other,Enlarge udder with milk overflow.,APHA-Animal Health Office informed
[Plant Name & Number],05/05/2015,On farm welfare,Red Meat: Cattle,Welfare on farm,3,Not Applicable,Full term pregnant cattle slaughtered,APHA-Animal Health Office informed
[Plant Name & Number],06/05/2015,Post-mortem findings,Red Meat: Cattle,Post-mortem findings,3,Other,incalf cattle over 90% of gestation,TS-Trading Standards informed
[Plant Name & Number],06/05/2015,Lairage operation,Poultry: Poultry,Trained welfare personnel,3,Other,Hangers failed to asses the consciousness and to neck the bird before dispose it of,ENF Welfare Enforcement Notice
[Plant Name & Number],07/05/2015,On farm welfare,Red Meat: Sheep,Welfare on farm,3,Ingrown horn/s,ingrown horn in the face found at antemortem,TS-Trading Standards informed
[Plant Name & Number],07/05/2015,On farm welfare,Red Meat: Pigs,Welfare on farm,4,Bruised,5 animals with internal bruising and broken femurs.,APHA-Animal Health Office informed
[Plant Name & Number],07/05/2015,On farm welfare,Red Meat: Cattle,Welfare on farm,4,Ingrown horn/s,2 Sheep found with ingrown horn. One damage the eye and the other one penetrated the cheek tissue.,APHA-Animal Health Office informed
[Plant Name & Number],08/05/2015,On farm welfare,Red Meat: Cattle,Welfare on farm,3,Overgrown hoof,2 adult cattle form [Name] having overgrown hoofs on hindlegs,APHA-Animal Health Office informed
[Plant Name & Number],08/05/2015,On farm welfare,Red Meat: Cattle,Welfare on farm,3,Other,"On friday 8 may 2015, I've found one cattle, at 6:50 am, belonging to [Name], born on 21/07/2015, [ID number], showing a large tumoural mass affecting the mammary gland, with no signs of bleeding or discharge.",APHA-Animal Health Office informed
[Plant Name & Number],08/05/2015,On farm welfare,Red Meat: Cattle,Welfare on farm,3,Other,Pregnant sheep found at post mortem inspection,TS-Trading Standards informed
[Plant Name & Number],08/05/2015,On farm welfare,Red Meat: Cattle,Welfare on farm,4,Other,A sheep was found on the last stage of pregnancy.,APHA-Animal Health Office informed
[Plant Name & Number],11/05/2015,On farm welfare,Red Meat: Cattle,Welfare on farm,4,Other,Severe dermatitis and lameness due to long hoof,TS-Trading Standards informed
[Plant Name & Number],12/05/2015,Lairage design and maintenance,Red Meat: Cattle,Maintenance of the lairage,3,Other,slipping cattle: wet surface at the unloading bay plus no bedding in the pen,None Applicable
[Plant Name & Number],12/05/2015,Stunning / killing,Red Meat: Cattle,Standard operating procedures,4,Inadequate sops for stunning/killin g,2 double shoots and 1 triple due wrong cartridge size used,ENF verbal advice
[Plant Name & Number],12/05/2015,On farm welfare,Red Meat: Sheep,Welfare on farm,3,Other,foot rot,APHA-Animal Health Office informed
[Plant Name & Number],15/05/2015,Welfare on transport,Red Meat: Sheep,Condition of the animals at unloading,3,Last stages of pregnancy,lamb born in the lairage,TS-Trading Standards informed
[Plant Name & Number],15/05/2015,Post-mortem findings,Red Meat: Cattle,Post-mortem findings,3,Other,incalf beast over 90% of gestation,TS-Trading Standards informed
[Plant Name & Number],15/05/2015,On farm welfare,Red Meat: Cattle,Welfare on farm,3,Bruised,,None Applicable
[Plant Name & Number],19/05/2015,On farm welfare,Poultry: Poultry,Catching damage,3,Trapped limbs/heads,Bird trapped between module's frame and basket,TS-Trading Standards informed
[Plant Name & Number],19/05/2015,On farm welfare,Red Meat: Cattle,Welfare on farm,3,Wounds,Enormous and erode Lump on the flank,APHA-Animal Health Office informed
[Plant Name & Number],20/05/2015,Stunning / killing,Red Meat: Cattle,Access to back- up stunner,3,No back-up stunner available,No back up stunner sheep slaughter,ENF verbal advice
[Plant Name & Number],21/05/2015,Welfare on transport,Red Meat: Sheep,Unloading facilities,3,Other,Lamb escaped at unloading,ENF verbal advice
[Plant Name & Number],21/05/2015,On farm welfare,Red Meat: Cattle,Welfare on farm,3,Other,Full pregnant cattle slaughtered with kill number 17,APHA-Animal Health Office informed
[Plant Name & Number],22/05/2015,Welfare on transport,Red Meat: Cattle,Condition of the animals at unloading,3,Last stages of pregnancy,last stage of pregnancy,TS-Trading Standards informed
[Plant Name & Number],22/05/2015,On farm welfare,Red Meat: Sheep,Welfare on farm,3,Bruised,Horn injuries cattle {Name],ENF verbal advice
[Plant Name & Number],25/05/2015,On farm welfare,Red Meat: Cattle,Welfare on farm,3,Not Applicable,Full pregnant cattle killed,APHA-Animal Health Office informed
[Plant Name & Number],26/05/2015,Stunning / killing,Red Meat: Sheep,Standard operating procedures,3,Not Applicable,"Sheep stunning: slaughter man has stunned 2 sheep per time and then proceed to perform the bleeding on both of them ; no animal suffering involved, technical breach",ENF verbal advice
[Plant Name & Number],29/05/2015,On farm welfare,Red Meat: Cattle,Welfare on farm,3,Other,One cow with mastitis,APHA-Animal Health Office informed
[Plant Name & Number],02/06/2015,On farm welfare,Red Meat: Cattle,Welfare on farm,3,Other,"On monday 2 june,at 12:45 am, there was one pig, belonging to [Name], with a very large navel hernia, almost touching the floor.",APHA-Animal Health Office informed
[Plant Name & Number],03/06/2015,On farm welfare,Red Meat: Cattle,Welfare on farm,3,Ingrown horn/s,Both horns penetrating skin,APHA-Animal Health Office informed
[Plant Name & Number],04/06/2015,Welfare on transport,Red Meat: Sheep,Condition of the animals at unloading,4,Broken leg,Fractured metatarsal bones bones on the right leg.,TS-Trading Standards informed
[Plant Name & Number],04/06/2015,Handling and restraint,Red Meat: Cattle,Restraint,3,Animals not properly restraint,Animal escape from stun box. Stunner operative shot it immediately.,ENF verbal advice
[Plant Name & Number],08/06/2015,Welfare on transport,Red Meat: Cattle,Condition of the animals at unloading,4,Broken leg,"One animal from [Name] [ID Number] address: [Address].arrived yesterday 07/06/15 around 17:15. Has a broken/dislocated left rear limb. Ear tag no: [ID Number]Procurement manager was sent down with the slaughterman but for health and safety issues ,as the animal was too feisty they couldn't kill her.I have spoken since to the FBO and he contacted the farm where the animal was fine and has assumed that the animal became lame in transport.Case reported to trading standards and in the welfare on line.Video evidence taken.",TS-Trading Standards informed
